date,item,quantity,price
2024-07-15,Tea 250g,25,88.00
2024-07-15,Biscuits Pack,35,26.00
2024-07-15,Instant Noodles,20,15.00
2024-07-15,Bread,18,24.00
2024-07-15,Milk 500ml,30,29.00
2024-07-15,Ginger 100g,8,45.00
2024-07-15,Honey 250ml,5,185.00
2024-07-15,Umbrella,3,250.00
2024-07-16,Tea 250g,28,88.00
2024-07-16,Coffee 100g,12,165.00
2024-07-16,Biscuits Pack,40,26.00
2024-07-16,Instant Noodles,25,15.00
2024-07-16,Hot Snacks Mix,15,45.00
2024-07-16,Milk 500ml,35,29.00
2024-07-16,Ginger 100g,10,45.00
2024-07-17,Tea 250g,30,88.00
2024-07-17,Biscuits Pack,38,26.00
2024-07-17,Bread,22,24.00
2024-07-17,Instant Soup,18,25.00
2024-07-17,Milk 500ml,32,29.00
2024-07-17,Turmeric Powder,6,85.00
2024-07-17,Raincoat,2,180.00
2024-07-18,Tea 250g,32,88.00
2024-07-18,Coffee 100g,15,165.00
2024-07-18,Biscuits Pack,42,26.00
2024-07-18,Instant Noodles,30,15.00
2024-07-18,Hot Snacks Mix,20,45.00
2024-07-18,Milk 500ml,38,29.00
2024-07-18,Ginger 100g,12,45.00
2024-07-19,Tea 250g,35,88.00
2024-07-19,Biscuits Pack,45,26.00
2024-07-19,Bread,25,24.00
2024-07-19,Instant Soup,22,25.00
2024-07-19,Milk 500ml,40,29.00
2024-07-19,Honey 250ml,8,185.00
2024-07-20,Tea 250g,38,88.00
2024-07-20,Coffee 100g,18,165.00
2024-07-20,Biscuits Pack,48,26.00
2024-07-20,Instant Noodles,35,15.00
2024-07-20,Hot Snacks Mix,25,45.00
2024-07-20,Milk 500ml,42,29.00
</text>
</invoke>
