date,item,quantity,price
2024-10-15,Rice 5kg,25,220.00
2024-10-15,Dal Toor 1kg,18,125.00
2024-10-15,Ghee 500ml,12,280.00
2024-10-15,Sugar 1kg,20,45.00
2024-10-15,Oil 1L,15,155.00
2024-10-15,Sweets Mix 500g,30,180.00
2024-10-15,Dry Fruits 250g,8,450.00
2024-10-15,Candles Pack,25,35.00
2024-10-15,Incense Sticks,40,15.00
2024-10-16,Rice 5kg,22,220.00
2024-10-16,Flour 5kg,18,190.00
2024-10-16,Milk 1L,35,55.00
2024-10-16,Sweets Mix 500g,28,180.00
2024-10-16,Oil 1L,20,155.00
2024-10-16,Decorative Items,15,85.00
2024-10-16,Rangoli Colors,12,65.00
2024-10-17,Dal Toor 1kg,15,125.00
2024-10-17,Ghee 500ml,10,280.00
2024-10-17,Sugar 1kg,25,45.00
2024-10-17,Sweets Mix 500g,35,180.00
2024-10-17,Dry Fruits 250g,12,450.00
2024-10-17,Diyas Pack,20,25.00
2024-10-17,Fireworks Small,8,120.00
2024-10-18,Rice 5kg,28,220.00
2024-10-18,Oil 1L,22,155.00
2024-10-18,Milk 1L,40,55.00
2024-10-18,Sweets Mix 500g,32,180.00
2024-10-18,Decorative Items,18,85.00
2024-10-18,Gift Boxes,10,95.00
2024-10-19,Flour 5kg,20,190.00
2024-10-19,Dal Toor 1kg,20,125.00
2024-10-19,Sugar 1kg,30,45.00
2024-10-19,Ghee 500ml,15,280.00
2024-10-19,Sweets Mix 500g,40,180.00
2024-10-19,Dry Fruits 250g,15,450.00
2024-10-20,Rice 5kg,30,220.00
2024-10-20,Oil 1L,25,155.00
2024-10-20,Milk 1L,45,55.00
2024-10-20,Sweets Mix 500g,45,180.00
2024-10-20,Candles Pack,30,35.00
2024-10-20,Incense Sticks,50,15.00
</text>
</invoke>
