date,item,quantity,price
2024-01-15,Rice 1kg,10,45.00
2024-01-15,Dal Toor 1kg,5,120.00
2024-01-15,Tea 250g,8,85.00
2024-01-15,Biscuits Pack,12,25.00
2024-01-15,Oil 1L,3,150.00
2024-01-16,Rice 1kg,8,45.00
2024-01-16,Milk 500ml,15,28.00
2024-01-16,Sugar 1kg,4,42.00
2024-01-16,Bread,6,22.00
2024-01-16,Onion 1kg,18,35.00
2024-01-17,Tea 250g,6,85.00
2024-01-17,Biscuits Pack,10,25.00
2024-01-17,Eggs 12pc,3,84.00
2024-01-17,Potato 1kg,12,30.00
2024-01-17,Tomato 1kg,8,60.00
2024-01-18,Rice 1kg,12,45.00
2024-01-18,Dal Toor 1kg,3,120.00
2024-01-18,Oil 1L,4,150.00
2024-01-18,Milk 500ml,20,28.00
2024-01-18,Sugar 1kg,6,42.00
2024-01-19,Bread,8,22.00
2024-01-19,Tea 250g,5,85.00
2024-01-19,Biscuits Pack,15,25.00
2024-01-19,Onion 1kg,22,35.00
2024-01-19,Potato 1kg,16,30.00
2024-01-20,Rice 1kg,9,45.00
2024-01-20,Milk 500ml,18,28.00
2024-01-20,Eggs 12pc,4,84.00
2024-01-20,Tomato 1kg,10,60.00
2024-01-20,Dal Toor 1kg,7,120.00
