date,item,quantity,price
2024-03-15,Rice 1kg,12,46.00
2024-03-15,Dal Toor 1kg,8,122.00
2024-03-15,Oil 1L,6,152.00
2024-03-15,Sugar 1kg,10,43.00
2024-03-15,Tea 250g,15,86.00
2024-03-15,Milk 500ml,25,28.50
2024-03-15,Bread,12,23.00
2024-03-15,Biscuits Pack,18,25.50
2024-03-15,Onion 1kg,20,38.00
2024-03-15,Potato 1kg,18,32.00
2024-03-16,Rice 1kg,10,46.00
2024-03-16,Flour 1kg,8,39.00
2024-03-16,Oil 1L,5,152.00
2024-03-16,Sugar 1kg,8,43.00
2024-03-16,Tea 250g,12,86.00
2024-03-16,Milk 500ml,22,28.50
2024-03-16,Eggs 12pc,6,86.00
2024-03-16,Tomato 1kg,15,65.00
2024-03-16,Onion 1kg,18,38.00
2024-03-17,Rice 1kg,14,46.00
2024-03-17,Dal Toor 1kg,6,122.00
2024-03-17,Oil 1L,7,152.00
2024-03-17,Sugar 1kg,12,43.00
2024-03-17,Tea 250g,18,86.00
2024-03-17,Milk 500ml,28,28.50
2024-03-17,Bread,15,23.00
2024-03-17,Biscuits Pack,20,25.50
2024-03-17,Potato 1kg,22,32.00
2024-03-18,Rice 1kg,11,46.00
2024-03-18,Flour 1kg,10,39.00
2024-03-18,Oil 1L,4,152.00
2024-03-18,Sugar 1kg,9,43.00
2024-03-18,Tea 250g,16,86.00
2024-03-18,Milk 500ml,26,28.50
2024-03-18,Eggs 12pc,8,86.00
2024-03-18,Tomato 1kg,18,65.00
2024-03-18,Onion 1kg,20,38.00
2024-03-19,Rice 1kg,13,46.00
2024-03-19,Dal Toor 1kg,7,122.00
2024-03-19,Oil 1L,6,152.00
2024-03-19,Sugar 1kg,11,43.00
2024-03-19,Tea 250g,14,86.00
2024-03-19,Milk 500ml,24,28.50
2024-03-19,Bread,14,23.00
2024-03-19,Biscuits Pack,16,25.50
2024-03-19,Potato 1kg,19,32.00
2024-03-20,Rice 1kg,15,46.00
2024-03-20,Flour 1kg,12,39.00
2024-03-20,Oil 1L,8,152.00
2024-03-20,Sugar 1kg,13,43.00
2024-03-20,Tea 250g,20,86.00
2024-03-20,Milk 500ml,30,28.50
2024-03-20,Eggs 12pc,10,86.00
2024-03-20,Tomato 1kg,20,65.00
2024-03-20,Onion 1kg,25,38.00
</text>
</invoke>
